Date,Days,Score,Day_of_week_0,Day_of_week_1,Day_of_week_2,Day_of_week_3,Day_of_week_4,Day_of_week_5,Day_of_week_6
2022-11-21,1,42.0,1,0,0,0,0,0,0
2022-11-22,2,50.0,0,1,0,0,0,0,0
2022-11-23,3,52.0,0,0,1,0,0,0,0
2022-11-24,4,145.0,0,0,0,1,0,0,0
2022-11-25,5,159.0,0,0,0,0,1,0,0
2022-11-26,6,165.0,0,0,0,0,0,1,0
2022-11-27,7,60.0,0,0,0,0,0,0,1
2022-11-28,8,39.0,1,0,0,0,0,0,0
2022-11-29,9,40.0,0,1,0,0,0,0,0
2022-11-30,10,46.0,0,0,1,0,0,0,0
2022-12-01,11,57.0,0,0,0,1,0,0,0
2022-12-02,12,67.0,0,0,0,0,1,0,0
2022-12-03,13,117.0,0,0,0,0,0,1,0
2022-12-04,14,113.0,0,0,0,0,0,0,1
2022-12-05,15,44.0,1,0,0,0,0,0,0
2022-12-06,16,39.0,0,1,0,0,0,0,0
2022-12-07,17,47.0,0,0,1,0,0,0,0
2022-12-08,18,45.0,0,0,0,1,0,0,0
2022-12-09,19,52.0,0,0,0,0,1,0,0
2022-12-10,20,67.0,0,0,0,0,0,1,0
2022-12-11,21,58.0,0,0,0,0,0,0,1
2022-12-12,22,38.0,1,0,0,0,0,0,0
2022-12-13,23,45.0,0,1,0,0,0,0,0
2022-12-14,24,43.0,0,0,1,0,0,0,0
2022-12-15,25,49.0,0,0,0,1,0,0,0
2022-12-16,26,56.0,0,0,0,0,1,0,0
2022-12-17,27,106.0,0,0,0,0,0,1,0
2022-12-18,28,58.0,0,0,0,0,0,0,1
2022-12-19,29,40.0,1,0,0,0,0,0,0
2022-12-20,30,38.0,0,1,0,0,0,0,0
2022-12-21,31,51.0,0,0,1,0,0,0,0
2022-12-22,32,41.0,0,0,0,1,0,0,0
2022-12-23,33,52.0,0,0,0,0,1,0,0
2022-12-24,34,137.0,0,0,0,0,0,1,0
2022-12-25,35,134.0,0,0,0,0,0,0,1
2022-12-26,36,32.0,1,0,0,0,0,0,0
2022-12-27,37,33.0,0,1,0,0,0,0,0
2022-12-28,38,42.0,0,0,1,0,0,0,0
2022-12-29,39,34.0,0,0,0,1,0,0,0
2022-12-30,40,48.0,0,0,0,0,1,0,0
2022-12-31,41,191.0,0,0,0,0,0,1,0
2023-01-01,42,174.0,0,0,0,0,0,0,1
2023-01-02,43,115.0,1,0,0,0,0,0,0
2023-01-03,44,18.0,0,1,0,0,0,0,0
2023-01-04,45,17.0,0,0,1,0,0,0,0
2023-01-05,46,18.0,0,0,0,1,0,0,0
2023-01-06,47,17.0,0,0,0,0,1,0,0
2023-01-07,48,15.0,0,0,0,0,0,1,0
2023-01-08,49,17.0,0,0,0,0,0,0,1
2023-01-09,50,9.0,1,0,0,0,0,0,0
2023-01-10,51,11.0,0,1,0,0,0,0,0
2023-01-11,52,18.0,0,0,1,0,0,0,0
2023-01-12,53,13.0,0,0,0,1,0,0,0
2023-01-13,54,13.0,0,0,0,0,1,0,0
2023-01-14,55,14.0,0,0,0,0,0,1,0
2023-01-15,56,13.0,0,0,0,0,0,0,1
2023-01-16,57,15.0,1,0,0,0,0,0,0
2023-01-17,58,7.0,0,1,0,0,0,0,0
2023-01-18,59,5.0,0,0,1,0,0,0,0
2023-01-19,60,6.0,0,0,0,1,0,0,0
2023-01-20,61,6.0,0,0,0,0,1,0,0
2023-01-21,62,10.0,0,0,0,0,0,1,0
2023-01-22,63,8.0,0,0,0,0,0,0,1
2023-01-23,64,3.0,1,0,0,0,0,0,0
2023-01-24,65,6.0,0,1,0,0,0,0,0
2023-01-25,66,5.0,0,0,1,0,0,0,0
2023-01-26,67,7.0,0,0,0,1,0,0,0
2023-01-27,68,6.0,0,0,0,0,1,0,0
2023-01-28,69,7.0,0,0,0,0,0,1,0
2023-01-29,70,8.0,0,0,0,0,0,0,1
2023-01-30,71,3.0,1,0,0,0,0,0,0
2023-01-31,72,6.0,0,1,0,0,0,0,0
2023-02-01,73,4.0,0,0,1,0,0,0,0
2023-02-02,74,6.0,0,0,0,1,0,0,0
2023-02-03,75,22.0,0,0,0,0,1,0,0
2023-02-04,76,16.0,0,0,0,0,0,1,0
2023-02-05,77,7.0,0,0,0,0,0,0,1
2023-02-06,78,2.0,1,0,0,0,0,0,0
2023-02-07,79,21.0,0,1,0,0,0,0,0
2023-02-08,80,4.0,0,0,1,0,0,0,0
2023-02-09,81,6.0,0,0,0,1,0,0,0
2023-02-10,82,5.0,0,0,0,0,1,0,0
2023-02-11,83,6.0,0,0,0,0,0,1,0
2023-02-12,84,7.0,0,0,0,0,0,0,1
2023-02-13,85,2.0,1,0,0,0,0,0,0
2023-02-14,86,6.0,0,1,0,0,0,0,0
2023-02-15,87,4.0,0,0,1,0,0,0,0
2023-02-16,88,7.0,0,0,0,1,0,0,0
2023-02-17,89,6.0,0,0,0,0,1,0,0
2023-02-18,90,7.0,0,0,0,0,0,1,0
2023-02-19,91,7.0,0,0,0,0,0,0,1
2023-02-20,92,3.0,1,0,0,0,0,0,0
2023-02-21,93,6.0,0,1,0,0,0,0,0
2023-02-22,94,6.0,0,0,1,0,0,0,0
2023-02-23,95,6.0,0,0,0,1,0,0,0
2023-02-24,96,7.0,0,0,0,0,1,0,0
2023-02-25,97,8.0,0,0,0,0,0,1,0
2023-02-26,98,7.0,0,0,0,0,0,0,1
2023-02-27,99,2.0,1,0,0,0,0,0,0
2023-02-28,100,4.0,0,1,0,0,0,0,0
2023-03-01,101,3.0,0,0,1,0,0,0,0
2023-03-02,102,5.0,0,0,0,1,0,0,0
